table_identifier,country,ref_area,NUTS,accounting_entry,sto,activity,unit_measure,time_period,type,obs_value
T1001,DK,DK,0,_Z,EMP,_T,PS,2011,T,2786.63
T1001,DK,DK,0,_Z,EMP,_T,PS,2011,V,2787
T1001,DK,DK,0,_Z,EMP,_T,PS,2012,T,2766.81
T1001,DK,DK,0,_Z,EMP,_T,PS,2012,V,2767
T1001,DK,DK,0,_Z,EMP,_T,PS,2013,T,2766.4
T1001,DK,DK,0,_Z,EMP,_T,PS,2013,V,2766
T1001,DK,DK,0,_Z,EMP,_T,PS,2014,T,2790.51
T1001,DK,DK,0,_Z,EMP,_T,PS,2014,V,2791
T1001,DK,DK,0,_Z,EMP,_T,PS,2015,T,2829
T1001,DK,DK,0,_Z,EMP,_T,PS,2015,V,2829
T1001,DK,DK,0,_Z,EMP,_T,PS,2016,T,2876.45
T1001,DK,DK,0,_Z,EMP,_T,PS,2016,V,2876
T1001,DK,DK,0,_Z,EMP,_T,PS,2017,T,2919.56
T1001,DK,DK,0,_Z,EMP,_T,PS,2017,V,2920
T1001,DK,DK,0,_Z,EMP,_T,PS,2018,T,2962.78
T1001,DK,DK,0,_Z,EMP,_T,PS,2018,V,2963
T1001,DK,DK,0,_Z,EMP,_T,PS,2019,T,3005.48
T1001,DK,DK,0,_Z,EMP,_T,PS,2019,V,3003
T1001,DK,DK,0,_Z,EMP,_T,PS,2020,T,2973
T1001,DK,DK,0,_Z,EMP,_T,PS,2020,V,
T1001,DK,DK,0,_Z,EMP,_T,PS,2021,T,3045.79
T1001,DK,DK,0,_Z,EMP,_T,PS,2021,V,
T1001,DK,DK,0,_Z,POP,_Z,PS,2000,T,5338.49
T1001,DK,DK,0,_Z,POP,_Z,PS,2000,V,5338
T1001,DK,DK,0,_Z,POP,_Z,PS,2001,T,5357.29
T1001,DK,DK,0,_Z,POP,_Z,PS,2001,V,5357
T1001,DK,DK,0,_Z,POP,_Z,PS,2002,T,5375.58
T1001,DK,DK,0,_Z,POP,_Z,PS,2002,V,5376
T1001,DK,DK,0,_Z,POP,_Z,PS,2003,T,5389.52
T1001,DK,DK,0,_Z,POP,_Z,PS,2003,V,5390
T1001,DK,DK,0,_Z,POP,_Z,PS,2004,T,5403.04
T1001,DK,DK,0,_Z,POP,_Z,PS,2004,V,5403
T1001,DK,DK,0,_Z,POP,_Z,PS,2005,T,5418.56
T1001,DK,DK,0,_Z,POP,_Z,PS,2005,V,5419
T1001,DK,DK,0,_Z,POP,_Z,PS,2006,T,5436.76
T1001,DK,DK,0,_Z,POP,_Z,PS,2006,V,5437
T1001,DK,DK,0,_Z,POP,_Z,PS,2007,T,5460.4
T1001,DK,DK,0,_Z,POP,_Z,PS,2007,V,5460
T1001,DK,DK,0,_Z,POP,_Z,PS,2008,T,5492.73
T1001,DK,DK,0,_Z,POP,_Z,PS,2008,V,5493
T1001,DK,DK,0,_Z,POP,_Z,PS,2009,T,5522.59
T1001,DK,DK,0,_Z,POP,_Z,PS,2009,V,5523
T1001,DK,DK,0,_Z,POP,_Z,PS,2010,T,5547.36
T1001,DK,DK,0,_Z,POP,_Z,PS,2010,V,5547
T1001,DK,DK,0,_Z,POP,_Z,PS,2011,T,5570.21
T1001,DK,DK,0,_Z,POP,_Z,PS,2011,V,5570
T1001,DK,DK,0,_Z,POP,_Z,PS,2012,T,5590.77
T1001,DK,DK,0,_Z,POP,_Z,PS,2012,V,5591
T1001,DK,DK,0,_Z,POP,_Z,PS,2013,T,5613.26
