country;sto;prices;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
CY;B1G;V;9013.461;9653.681;10342.591;10703.837;11396.588;12190.142;12949.748;13935.86;15116.038;16416.525;16419.53;17160.459;17649.124;17293.858;16037.782;15322.825;15714.87;16646.482;17740.457;18891.945;20326.092;19479.091;21146.967
CY;B1GQ;Y;9512.582;10312.079;11013.754;11841.937;12188.606;13490.936;14528.896;15521.004;16815.71;18150.193;18626.483;19101.746;19542.224;19173.491;18211.118;17719.938;18080.522;19123.727;20103.968;21459.66;22873.603;22162.851;23348.483
CY;B1GQ;V;9731.561;10594.981;11416.891;11877.037;12845.288;13856.442;14822.306;16000.018;17511.579;19009.576;18675.493;19461.127;19858.075;19495.372;18040.346;17482.799;17944.153;19013.816;20312.442;21675.095;23176.226;21894.897;24018.852
CY;D21X31;Y;678.077;760.938;978.504;1114.295;1203.976;1521.517;1747.167;1960.827;2169.391;2482.901;2540.795;2301.413;2310.255;2132.8;2056.49;1966.996;2258.162;2375.754;2500.365;2713.358;2910.32;2725.513;2576.189
CY;D21X31;V;718.1;941.3;1074.3;1173.2;1448.7;1666.3;1872.558;2064.158;2395.541;2593.051;2255.963;2300.668;2208.951;2201.514;2002.564;2159.974;2229.283;2367.334;2571.985;2783.15;2850.134;2415.806;2871.885
CZ;B1G;Y;1995612;2133573;2240534;2401510;2533894;2706443;2976889;3187909;3378871;3620229;3474313;3685490;3676989;3638129;3676927;3819141;4120083;4269232;4539121;4749180;5022730;4957406;5373497
CZ;B1G;V;2046075;2173796;2353831;2460702;2581146;2787943;2971553;3209206;3495330;3667964;3578059;3613528;3668903;3677512;3713015;3930576;4165174;4314719;4592620;4876115;5232889;5196179;5550548
CZ;B1GQ;Y;2186475;2343126;2458903;2619614;2787419;2959380;3282485;3507935;3727563;3963216;3854571;4050603;4063159;4030434;4087035;4236526;4579932;4742737;5044810;5275314;5574700;5472794;5911475
CZ;B1GQ;V;2252983;2386289;2579126;2690982;2823452;3079207;3285601;3530881;3859533;4042860;3954320;3992870;4062323;4088912;4142811;4345766;4625378;4796873;5110743;5410761;5791498;5709131;6108428
CZ;D21X31;Y;190863;209553;218369;218104;253525;252937;305596;320026;348692;342987;380258;365113;386170;392305;410108;417385;459849;473505;505689;526134;551970;515388;537978
CZ;D21X31;V;206908;212493;225295;230280;242306;291264;314048;321675;364203;374896;376261;379342;393420;411400;429796;415190;460204;482154;518123;534646;558609;512952;557880
DE;B1G;Y;1856832;1916906;1939992;1963733;1974737;2029092;2063765;2150036;2233326;2271501;2147176;2288520;2394963;2430758;2477173;2584829;2667231;2783371;2901242;2971786;3057938;3008554;3170248
DE;B1G;V;1856619;1901809;1962576;1987125;1996524;2049674;2069658;2156957;2247830;2289553;2192834;2305684;2418099;2465800;2527883;2635393;2722020;2822443;2944074;3032736;3129717;3087963;3258567
DE;B1GQ;Y;2052438;2119278;2144660;2168237;2182608;2237727;2279008;2375563;2456159;2523597;2401426;2548082;2664807;2705060;2757096;2873722;2970965;3093710;3218826;3299232;3400890;3345004;3494858
DE;B1GQ;V;2059480;2109090;2172540;2198120;2211570;2262520;2288310;2385080;2499550;2546490;2445730;2564400;2693560;2745310;2811350;2927430;3026180;3134740;3267160;3365450;3473260;3405430;3601750
DE;D21X31;Y;195606;202372;204668;204504;207871;208635;215243;225527;222833;252096;254250;259562;269844;274302;279923;288893;303734;310339;317584;327446;342952;336450;324610
DE;D21X31;V;202861;207281;209964;210995;215046;212846;218652;228123;251720;256937;252896;258716;275461;279510;283467;292037;304160;312297;323086;332714;343543;317467;343183
